<<<<<<< HEAD
NdyxjivY,알수없음,2024-09-25,블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,161.5682302771855,51.50699677072121,55,"내장캡 나시를 여러개 구입하였는데 가격대비 퀄리티에 제일 만족해요 이번 여름에 주구장창 입고 버리려했는데 여러번 세탁해도 아직 면이 짱짱합니다
완전 크롭도 너무 긴 길이도 아니라서 나시만 입어도 무방해요 셔츠 안에 하도 입어서 뽕 뺏네여ㅜㅜ 가을 겨울에도 계속 이너로 입을 것 같아요 낡으면 다시 구입해야하니 계속 팔아주세요,,,!"
KpDcdvb3,상위 15%,2024-09-24,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,156.0,54.0,55,"안에 입을 나시 탑이 필요해서 구매했어요
속옷 안입어도 편하게 잘 맞고 너무 이뻐용!!
다만 빨래하고 나면 옷에 패드가 자꾸 돌아가있어서 원래대로 돌리는게 조금 귀찮긴 하네요
그래도 편하고 이뻐서 여름 내내 잘 받쳐서 입었습니다"
ihJepa5N,알수없음,2024-09-24,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,163.0,48.0,44,"나시티 안에 입으려구 샀는데 쫀쫀하니 편해요. 소재가 통기성이 없어서 한여름에는 좀 덥고요, 한번 세탁하니 바로 보풀이...😂 사실 이너로 입을거라 흐린눈 하고 입는 중입니다. 가성비로따지면 만족해요"
yooneya,알수없음,2024-09-23,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,159.0,52.0,55,좋아요 가디건안에 이너로 입으려고 샀어요 바스트가 있는편이라 이런 나시 살때 고민이 많은데 너무 끼지도 않고 적당합니다 그리고 재질이 엄청 부드러워서 살이 아프거나 하지 않고 만족해요! 다른색도 구매하고싶네요!!
oCsGEobU,상위 20%,2024-09-22,블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,155.0,42.0,44,작년 여름 화이트로1번 블랙으로1번 구매하고 올 여름 재구매했습니다 :) 진짜 너무 이쁘고 가성비 최고템이에요! 내년여름도 재구매예정입니다
5bnREiYU,알수없음,2024-09-22,아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,161.0,50.0,55,앞판 가슴 셔링이 옆부분에서 뚝 끊겨있어서 살짝 아쉽긴 한데..셔츠 위에 걸치면 티도 안나고 원단도 엄청 부들부들해서 예민한 피부에도 까슬거림 없어서 그냥 입으려구요. 파란색 시키려다가 품절이어서 흰색만 샀는데 색 있었으면 더 나았을 것 같아요. 기장감 굉장히 짧은편입니다..하이웨스트 바지랑 입으세요
6iw7z9Vs,상위 25%,2024-09-20,블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,50.0,55,속옷을 입는게 귀찮기도 하고 갑갑한걸 싫어해서 여행갈때 입으려고 구매했는대 생각보다 캡도 부자연스럽지 않고 너무 편하고 맘에듭니다. 생각보다는 도톰?해서 한여름엔 더울수도 있을거 같고 안에 이너로 입거나 하는게 더 좋겠어요
Ds1bQ3ob,알수없음,2024-09-20,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,168.0,53.0,55,올해 여름 최고의 소비였습니다! 이 정도 가격에 이 정도 퀄리티라니 정말 딱 마음에 드는 슬리브리스입니다😭입었을 때 착용감도 좋고 내장 컵이 조금 두툼하고 큰 편이라 편안하게 다닐 수 있고 크롭 양쪽 셔링 디자인이 여성스러운 느낌을 줍니다! 길이도 적당해서 그냥 청방지에 이것만 입고 다니기도 했어요
d1MxLCp7,상위 5%,2024-09-20,(롱ver)블랙,one size,정사이즈예요,보통이에요,화면과 비슷해요,153.0,48.0,55,"장점 : 끈이 튼튼하고 캡내장이라 진짜 휘뚜루마뚜루 입기 좋음!!
단점 : 부유방은 가려지진 않고 흉통크면 더 커보이는 옷입니다 여리여리 느낌은 안나요 ㅠㅠ 그리고 흰색의 경우는 점점 빛바랜 색이 됨
단점들이 있긴하지만 편한 편이라서 작년에 이어 재구매해서 더 입어요 ㅎㅎ"
vpQ1xXD3,알수없음,2024-09-19,(롱ver)크림,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,170.0,53.0,66,우선 착용감은 편해요! 브라랑 나시랑 같이 입다가 이것만 입고 나가니까 편했습니다👍🏻 너무 더울 때 입으면 더워죽을수도 있어서 덜 더울 때 입는 거 추천 드릴게요 .. ^^.. 세탁기에 돌리니까 캡이 돌아가요 꼭 그물망에 넣고 돌리세요~!! 이 정도 가격에 퀄리티면 그래도 만족해서 그냥 입구 댕깁니다!
chri******,상위 10%,2024-09-15,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,163.0,58.0,44,검정색을 사서 입다가 넘 맘에들어서 아이보리도 구매했습니다. 처음 배송받았을 때 새옷냄새가 좀 나서 바로 세탁해야해용. 보들보들해서 기분이 좋구 모양도 직사각형으로 깔끔하다보니 여기저기 무난하게 잘 어울림당
TzurxXwy,상위 10%,2024-09-11,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,156.0,52.0,55,캡내장 나시 흰색은 캡 안 비치는게 거의 없어서 찾고 찾다가 구매했는데 확실히 비침은 없습니다! 근데 캡이 말랑한 캡이 아니라 딱딱한거라 그거 한 가지가 아쉬워요ㅠ 그거 빼고는 셔링도 있고 만족합니다 부유방은 잘 안 가려져요
680jPJ2s,상위 15%,2024-09-10,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,153.0,50.0,44,"가디건이랑 입기 너어어어어무 좋은 제품이에요!
기본 기장이 너무 짧지 않을까 걱정했었는데
크롭으로 입기 가장 예쁜 기장인 것 같습니다.
크롭제품 많이 입으시면 딱 예쁜 길이라고 느끼실거에용!! 
그리고 윗부분을 딱! 잡아줘서 가슴보일까봐 불안하지 않아서 넘 좋았어요ㅠㅠ 그게 가장 좋았음
대신 입다보니 느낀 단점은.. 패드 면적이 커서 약간 가슴이 납작하고 넓적해보인다는 것..?
그치만 장점만으로도 살 가치가 충분해서 추천추천왕추천합니다! 저의 여름 교복이었긔 다들 장만하십숑"
680jPJ2s,상위 15%,2024-09-10,그레이,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,153.0,50.0,44,"가디건이랑 입기 너어어어어무 좋은 제품이에요!
기본 기장이 너무 짧지 않을까 걱정했었는데
크롭으로 입기 가장 예쁜 기장인 것 같습니다.
크롭제품 많이 입으시면 딱 예쁜 길이라고 느끼실거에용!! 
그리고 윗부분을 딱! 잡아줘서 가슴보일까봐 불안하지 않아서 넘 좋았어요ㅠㅠ 그게 가장 좋았음
대신 입다보니 느낀 단점은.. 패드 면적이 커서 약간 가슴이 납작하고 넓적해보인다는 것..?
그치만 장점만으로도 살 가치가 충분해서 추천추천왕추천합니다! 저의 여름 교복이었긔 다들 장만하십숑"
MMYuVMG3,상위 20%,2024-09-10,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,158.0,45.0,44,"아조 고냥 휘둘마뚤 여기저기 잘 입고 다닙니다!! 셔츠 안에 입으면 넥라인 예쁘게 떨어져서 좋아요 ㅎㅎ 
학교 갈 땐 후드집업 안에 슥 걸치고 쇄골 보이게 지퍼 열어주면 여리여리 최고,,,,"
s9gbGMtG,상위 15%,2024-09-09,블랙,one size,정사이즈예요,보통이에요,화면과 비슷해요,160.0,46.0,55,여기서 산 흰색 나시를 잘 입어서 검정색도 구매했습니다 여기저기 레이어드해서 입기 좋아요 불편하지 않고 좋아요 근데 체감상 흰색보다 좀 더 작게 느껴져요 팔뚝살 부자라 단독으로는 못입을 거 같아요오
g8U1UPAP,알수없음,2024-09-08,(롱ver)아이보리,one size,작아요,보통이에요,화면과 비슷해요,168.0,61.0,66,"75D 기준 캡이 좀 작아서
수납 안된 가슴이 밑으로 조금 튀어나와요….
캡이 안에서 돌아다녀서 가끔 모양 잡아줘야댐
잘 늘어나고 땀나도 티 안나서 좋아요
윗가슴이 좀 부족한 편인데
일반 반팔티에 이너로 입었을 때에도 모양이 예쁘게 잡혀서 조아요"
IAwo9aLl,알수없음,2024-09-07,(롱ver)그레이,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,161.0,45.0,55,"친구꺼 빌려입엇다가 마음에들어서 샀어오 전에 입던 나시들은 겨드랑이 끼고 패드도 맘에 안들었는데
이건 겨드랑이도 너무 편하규 패드도 편하고 핏도 조아요 다른 색깔들도 다 쟁이랴구요 다양하게 코디하기도 너무 조아요"
eTacLIQz,알수없음,2024-09-06,(롱ver)블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,159.0,48.0,44,흰색 숏 있는데 너무 편하고 가슴 캡 모양도 예뻐서 엄청 자주 입어서 또 샀어요ㅎㅎ 숏 말구 롱으로 구매 했는데 더 마음에 드네요ㅎㅎ 한가지 아쉬운점이 있다면 캡이 좀 딱딱해요ㅎㅎ 그거 빼고는 짱이에요!!
R4PMNnMg,알수없음,2024-09-05,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,168.0,56.0,55,"168/ 저는 상체가 긴편이라 그런가 크롭은 확실히 배꼽 위 정도 입니다 
롱도 샀는데 제기준에서는 롱이 딱 적절한 길이인것 같아 잘입을것 같아요
캡도 편해서 매우 만족
크롭은 잠옷이나 요가할때 입어야겠어용"
UYtGhhwo,알수없음,2024-09-03,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,156.0,46.0,55,얇은 끝에 비해서 재질은 나쁘지 않으나 패드가 가슴을 전혀 보정 해 주지 않습니다 밑부***슴 다 튀어 나오고 입으면 납작 가슴도 아니고 볼륨 가슴도 아니고 그저 그냥 가리게 용도….벗 늘씬 하신 분들이 입으면 너무 예쁠 거 같애요. 옷은잘못이없의니까요
BFG1YNTq,상위 1%,2024-09-03,(롱ver)블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,48.0,55,"핑크, 소라 구매하고 너무 편하고 예뻐서 하나 더 구매했습니다! 아쉬운건, 빨래하다보면 패드가 돌아다니기도 하고, 시간이 지나면 부풀 나는건 어쩔수없네요…! 
그래도 예쁘고 편해서 편하게 손가는 제품인 것 같아요!"
Hqx3eCAv,상위 5%,2024-09-01,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,39.0,44,"허리가 긴 웨이브 체형이라 그런지 생각보다 더 짧았어요. 마른편인데 약간의 부유방 부각이 있는것도 같은데 끈도 얇고 재질도 괜찮으며 딱 달라붙어서 대체적으로 깔끔한 핏으로 이쁘게 보이게 해줘요! 조금 단점이 있다면 안에 내장된 캡이 너무 작아서 큰 가슴이 아닌데도 아랫 가슴이 약간 튀어 나와요ㅠㅠ 캡이 조금만 더 컸으면 좋겠어요!
다른 색상으로도 사서 입어보고 싶어요🤗"
31YzUPzv,알수없음,2024-09-01,블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,159.0,49.0,55,"겨울에 롱으로 샀다가 맘에 들어서 여름맞이로 하나 샀습니당 끈이 얇아서 끊어질까봐 걱정했는데 생각보다 튼튼하구 옆에 셔링이 있어서 라인도 잡아줘서 예뻐요
검정은 단독으로 입기 가능인데 아이보리는 패드가 살짝 비쳐서 나시 안에 입으려구요"
31YzUPzv,알수없음,2024-09-01,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,159.0,49.0,55,"겨울에 롱으로 샀다가 맘에 들어서 여름맞이로 하나 샀습니당 끈이 얇아서 끊어질까봐 걱정했는데 생각보다 튼튼하구 옆에 셔링이 있어서 라인도 잡아줘서 예뻐요
검정은 단독으로 입기 가능인데 아이보리는 패드가 살짝 비쳐서 나시 안에 입으려구요"
6Fc56bbT,알수없음,2024-08-30,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,50.0,55,"진짜 캡 하나도 보이지 않고 너무 편해요! 여름에 다른 옷 입을 때 속옷이 보일까봐 신경쓰이고 불편한데 이거 하나만 입으면 해결이라 너무 좋아요
검은색과 흰색 샀는데 둘 다 너무 잘 입고 있고 길이도 딱 적당해서 좋았습니다 ㅠㅠ 어느 옷이든 다 잘 어울려서 좋아요 옆에 셔링 포인트도 너무 이쁩니다!!"
LF5Ma36a,알수없음,2024-08-29,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,163.0,59.0,55,"나트랑 여행에서 입었는데 넘 이쁘고 편했어요!
색깔별로 가져갔는데 다 나름의 매력이있어서 골라입기 좋더라구요.
빨래 후에 캡 위치 조정하는게 좀 귀찮긴 하지만 이뻐서 감안할 수 있을 정도입니다."
uKROW5Xc,상위 10%,2024-08-28,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,170.0,48.0,44,작년 여름 이거 한 철 입었더니 브라로 못 돌아가겠어요;; 365일 중 340일 입었더니 끈이 너덜너덜 해져서 재구매합니다. 검은색은 1년 되어도 괜찮은데 아이보리는 색이 점점 누래지다보니ㅎㅎ;; 아이보리만 새 걸로 갈려구요. 타사 제품 아이보리 색은 캡이 보여서 살색이 비쳐지는데 이 제품은 안비쳐서 겉에 보여도 상관없어요~~
체아콩,상위 20%,2024-08-28,(롱ver)블랙,one size,정사이즈예요,보통이에요,화면과 비슷해요,158.0,43.0,44,"배송은 빨리 왔고
품질 , 핏 다 괜찮은데
안에 들어있는 캡이 진짜 딱딱해요,,
그래서 캡은 제거하고 핏이 이뻐서 그냥 입고 있어요
가격대비 너무 좋은 제품이긴 해요
왜 인기 있는지 알것 같아요"
HNwRnuOl,알수없음,2024-08-27,(롱ver)그레이,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,154.0,45.0,44,화이트 사고 맘에 들어서 그레이도 샀어요 ㅎㅎ 일단 진짜 편하고 잘 잡아줘요! 롱버전 길이감도 너무 길거나 짧지 않고 좋습니다 다만 화이트는 세탁하니 보풀이 많이 생기더라구요 ㅜㅜ 재질은 찰랑하니 좋은데 보풀 때문에 아쉬워요 ㅠㅠㅠㅠ 보풀 안 생기는 소재로 똑같이 나오면 색깔별로 다 쟁일 것 같아요
뾰롱뾰롱뽀로로,알수없음,2024-08-27,그레이,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,51.0,55,"+추가 : 빨래하니까 끈 접합부분에 보풀 생기네욜 ㅎㅎ 그리고 캡이 빙글빙글 돌아요 😢 되돌리기 넘 힘듦... 캡 위치 고정이 되던가, 위치조정이 용이하게 구멍이 있음 좋을거 같아요! 

그레이 색 나시가 필요해서 구매했는데, 재질이 좋아서 놀랐어요! 끈도 더 입어봐야 알겠지만 얇고 예쁜데도 짱짱하구요👀
나시 제품 이것저것 찾아보다가 고른 건데, 이번에 주문한 제품들 중 여기서 산 나시가 가장 만족스러울 정도로 맘에 들어요...!! 다음 번에도 이 제품으로 다른 색 구매할 것 같습니당🤭🤭"
쁨쁨,상위 1%,2024-08-27,블랙,one size,정사이즈예요,보통이에요,화면과 비슷해요,160.0,50.0,55,"여름에 입을만한 나시를 찾다가 구매하게 되었어요!

일단 제가 가슴이 정—말 없는 편이라..!
걱정했는데 옆으로 봤을 땐 자연스럽지만
앞으로 봤을 땐 정말 애매한..? 핏이더라구요..🥺

그리고 부유방 커버도
나시로 제대로 딱 가리면서 입지 않은 이상,
잘 안되는 것 같고..! 그리고 진짜 캡이 
아예 내장되어있다보니 빨래할 때마다
매번 그 캡모양을 직접 움직여서 
제대로 원위치 시켜야하는 게 좀 불편했어요🫨

전체적인 후기들이 너무 좋아서 정말 기대했는데
생각했던 핏이나 느낌과는 좀 달랐어서 아쉬웠어요🥲"
abLTn2lA,알수없음,2024-08-26,아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,154.0,53.0,55,"좋아요 ~ 신축성도 좋고 재질도 면이라 여름에 땀 흡수도 잘돼요 !! 다만 빨면 캡이 돌아가는데, 원래 어떤 모양이었는지 까먹어서 다시 되돌리는데 애먹었습니당 그래도 넘 예쁘고 편해서 추천해요 !!"
kiovan,알수없음,2024-08-26,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,161.0,55.0,44,이번 여름에 여행가기 전에 처음 구매하고 너무 잘 입어서 재구매했어욤 길이도 딱 적당하고 가슴 들뜸도 없고 색도 완전 화이트라 더 좋았어요 가을에 셔츠 안에 입을 생각으로 샀는데 너무 좋아요
8G0SJ8gM,알수없음,2024-08-26,(롱ver)그레이,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,159.0,55.0,55,"배송 : 여행 전 급하게 구매했는데 빨리 배송와서 여행내내 너무 잘 입었어요👍🏼👍🏼

핏 : 보통~통통이시라면 부유방 커버는 완벽히 되지 않을 것 같아요 하지만 잘 숨기면 또 이정도는 괜찮습니당 끈도 많이 조이지 않아서 편안하게 입고 다녔어요! 롱으로 사야 크롭티 안되고 딱 좋은 기장이에요!

장점 : 이정도 가격에 이정도 착용감, 핏이면 가성비 매우 굿..👍🏼

단점 : 흰색 캡 안비친다고 해서 샀는데 제건 비쳐요ㅠㅠ 일부러 참고하시라고 캡 비침 보이는 사진으로 첨부했어요 캡내장 나시에서 안비치는 나시 찾기가 더 어려운 만큼 캡비침은 흔한 일이니까 그냥 수긍하고 입습니다..ㅠ 근데 희한한게 제가 그레이도 샀는데 흰색이랑 캡 모양이 달라요 캡 모양때문인지 잘 자리잡지 못하는 느낌이 있습니다ㅠ"
써니문,상위 15%,2024-08-26,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,164.0,55.0,55,일체형은 항상 패드부분이 티가나서 싫은데 이 제품이 자른제품들에 비해 그나마 덜 티나서 마음에 들어요! 세탁기 돌리고나면 패드 모양이 뒤집혀서 매번 잡아줘야해 귀찮지만 재구매해서 입을만큼 퀄리티 괜찮고 마음에 듭니다!
써니문,상위 15%,2024-08-26,크림,one size,정사이즈예요,보통이에요,화면과 비슷해요,164.0,55.0,55,일체형은 항상 패드부분이 티가나서 싫은데 이 제품이 자른제품들에 비해 그나마 덜 티나서 마음에 들어요! 세탁기 돌리고나면 패드 모양이 뒤집혀서 매번 잡아줘야해 귀찮지만 재구매해서 입을만큼 퀄리티 괜찮고 마음에 듭니다!
yWX0KGNB,알수없음,2024-08-26,아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,163.0,58.0,55,그레이 롱버전을 일년동안 너무 잘 입어서 아이보리로 숏 또 샀는데 롱도 살짝 크롭느낌인데 숏은 확실히 크롭이에요 자주 입어서 보풀은 좀 생겼는데 넘 편하고 몸이 예뻐보여서 진짜 자주입어요
vpPsx3hX,알수없음,2024-08-24,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,161.5682302771855,51.50699677072121,55,여름에 받쳐입을 캡나시가 필요해서 오래 고민하다가 구매했어요 일단 캡부분이 흰색인데도 덜비쳐서 아주 만족스럽고 면 재질이 부드러워서 입었을때 착용감이 편안해요 하지만 캡의 소재가 두껍고 통풍이 안되는 소재라서 여름에 입기에 너무 더운 느낌이 있습니다
pBOZvei0,상위 15%,2024-08-23,(롱ver)블랙,one size,정사이즈예요,보통이에요,화면과 비슷해요,168.0,60.0,66,"어깨끈이 검정이 불량인듯 흰색은 사진처럼 끈이 앞판뒷판이 딱 맞는데 검정이는 끈이 사진처럼 삐뚤해서 가슴이 아니라 겨드랑이부터 끈이 시작해여;;; 근데 귀찮으니까 제가 수선해서 입을게요~

흰색 검정색 두개 샀는데 어쩐지 흰색이 더 보들하고 챱- 몸에 감기고 검정색이 더 쫀쫀한느낌? 검정색은 입으면 약간 가슴쪽이 답답 하더라고요 근데 쫀쫀하게 입고 싶은날씬이들은 좋으실것같아요 ㅎㅎ 

패드가 너무 뽕이 심하지 않고 얕아서 그게 제일 좋았어요 전체적으로 감싸는 느낌 ! 밑가슴을 받쳐주지 않아서 어쩔수 없이 언더붑이 될수도 있어요 겉에선 티 안납니다. ㅎㅎ"
Sz6bXnfd,알수없음,2024-08-23,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,161.0,60.0,66,후기 좋은 나시에는 이유가 있나봅니당~~ 검정색 구매하고 흰색도 사요~~ 예뻐요 캡내장이라서 속옷 입을 걱정 없는게 넘 편해요 캡이 생각보다 작긴 합니다~~ 잘 못 입으면 이상하니 잘 추스려 입으면 돼요~~ 길이도 선택 가능해서 좋아요👍👍
EMMqj1uv,상위 20%,2024-08-21,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,165.0,48.0,55,캡나시면 가슴이 안맞아서 가슴이 4개처럼 보이고 그럴까봐 걱정햤는데 따로 노는 느낌없이 제가슴위치에 딱맞게 위치해서 너무 좋고 허리쪽 셔링도 너무 이뻐서 다른색상들도 다 사고싶어요!!
키티짱,상위 10%,2024-08-21,(롱ver)블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,159.0,47.0,44,"원래 화이트랑 블랙 컬러 입다가 흠뻑쇼때 입을려고 구매했는데 색감도 쨍하니 이쁘고 착용감도 편해요! 기장도 다른 제품들에 비해서 긴편이라 다 가려져서 살 보일 걱정 안하고 입을 수 있어서 최고예요!!!
옆에 셔링도 과하지 않고 적당해서 인생템👍👍"
xdDPRWvM,알수없음,2024-08-20,(롱ver)코발트블루,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,166.0,57.0,55,"흠뻑쇼때문에 안입는 파랑티를 사려니 잠옷으로 쳐박템 될 것 같아서 나시로 샀어요! 
나시에 가디건은 좋은선택이었던 것 같아요
만족합니당 ㅎㅎ 이 더운데 브라랑 나시 둘 다 챙겨입었을생각하면 끔찍한데 캡 장착되어있어서 너무 편하고 덜 더웠어요 ㅎㅎ 굳!"
PhjSFIHy,상위 20%,2024-08-20,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,163.0,52.0,44,"좋은 후기가 많아서 샀는데 별로에요. 한 번 입었는데 바로 보풀 올라오고, 캡도 모양이 잡힌 건 좋은데 딱딱한 느낌이에요. 그리고 입었을 때 앞에 라인이 자꾸 안쪽 안감이 밖으로 나와요ㅠㅠ 그래서 사고나서 한 번 입고 옷장에 박혀있습니다..ㅜㅜ 저는 추천하진 않아요."
정원s,알수없음,2024-08-20,(롱ver)블랙,one size,정사이즈예요,보통이에요,화면과 비슷해요,161.0,56.0,55,패드 나시 처음 입어보는데 찐 만족템 입니다. 제기준 골지마냥 너무 붙지도 헐렁하지 않고 적당한 텐션으로 핏감이 있어서 마음에 들었어요 161기준 배꼽 쯔음 오네요 활동하면서 팔 움직이면 배꼽 위쪽으로 올라와요 여행가서 너무너무 잘 입었어요!! 다만 가격이 가격이다보니 몇번빠니까 보풀이 일어나는데 가격 착해서 재구매 계속하려구요!
갈링말링,알수없음,2024-08-19,(롱ver)아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,155.0,48.0,55,"나시 원피스 이너로 입기도 좋고 셔츠 오픈해서 안 받쳐 입기도 좋습니다~! 다양하게 활용가능한 게 큰 장점이네요.
가슴팍이나 겨드랑이 부분 헐렁하게 뜨는 거 없이 잘 잡아주고 셔링 디테일도 나름 예뻐요ㅎㅎ"
meowmeowma,알수없음,2024-08-18,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,154.0,48.0,55,다 좋은데 캡이 빨래하고나면 가운데로 합쳐져서 귀찮아여 그래도 퀄리티는 좋은 편이고 캡이 좀 딱딱?해서 이상하긴한데 뭐... 잘 입고 댕기고있습니다! 키 작은데도 롱 버전으로 사길 잘한거같아영
그린티프라뿌치노,상위 5%,2024-08-17,(롱ver)소라,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,53.0,55,"짱죠아요!!! 다른 캡내장 나시들은 너무 캡이 얇아서 가슴모양이 별로 안예뻣는데, 얘는 모양이 예뻐서 좋아용 ㅎㅎ 길이도 롱버전으로해도 적당히 크롭되는것도 맘에 듭니당
흰색, 핑크 사고 맘에 들어서 블루도 더 삿어용!
다만 여러번 빨래하면 안에서 캡이 돌아다니다가 접히더라구요 ㅜ 아예 캡을 고정시켜서 나온다거나,, 그게 조금 보완되면 좋을것같아요"
s06hkruX,상위 10%,2024-08-17,(롱롱ver)블랙,one size,정사이즈예요,보통이에요,화면과 비슷해요,160.0,55.0,55,"저번에 사구 너무 맘에 들어서 흰,검 재주문햇아요!
근데 아무생각없이 두개 같이 손빨래하고 잠깐 겹쳐놧더니 검정에서 물빠져서 흰색에 파란물?이 들었아요! 저는 티 안나게 속에만 입어야겟지만 예뻐서 추천합니다! 손빨래할때 주의하세요!!"
XcNgcov0,알수없음,2024-08-16,블랙,one size,정사이즈예요,보통이에요,화면과 비슷해요,158.0,53.0,44,"장점 
- 빠른 배송 
- 라인 이쁨 

단점 
- 내장 캡을 뺄 방법이 없음 
- 내장캡 위치 자꾸 돌아감 

단점이 치명적이긴 한데 어쨌든 기존 구매 했는데 핏이 맘에 들어서 2개 두 재구매 한거에요."
XcNgcov0,알수없음,2024-08-16,아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,158.0,53.0,44,"[재구매]
장점 
- 빠른 배송 
- 라인 이쁨 

단점 
- 내장 캡을 뺄 방법이 없음 
- 내장캡 위치 자꾸 돌아감 

단점이 치명적이긴 한데 어쨌든 기존 구매 했는데 핏이 맘에 들어서 2개 두 재구매 한거에요."
XcMXmrL2,상위 20%,2024-08-15,아이보리,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,158.0,51.0,55,"리뷰가 제일 많길래 배송은 그냥 일반 배송이지만
믿고 구매해봤어요
진짜 다른 곳보다 재질도 탄탄하고
끈도 빨리 늘어나지 않을 것 같아서 좋은 것 같아요 ㅎㅎ
리뷰가 많은 이유가 있는듯합니당
담에 다른 컬러도 구매해야겠어요 ~~~"
Oxjet8fb,상위 30%,2024-08-13,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,162.0,49.0,55,캡이 생각보다 딱딱해서 놀랐은데 핏은 괜찮았어요 셔츠나 여름니트 안에 입기 좋을 것 같아요! 끈이 생각보다 짧은지 중간에 조금 아프긴 했는데 어깨가 심한 정도는 아닙니다 원피스 안에 레이어드해서 입었는데 속옷 티 안나고 좋았어요!
해치,상위 15%,2024-08-13,블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,52.0,55,"오ㅏ 패드 내장형 나시 지금까지 실패였는데
이건 대박..🫢 저 이거 깔별로 쟁일라고요...

스트레잍체형으로 부유방 +허짧 체형인데 부각없이 걍 넘 이뿜 ㅇㅇ 가격듀 저렴하니까 걍 질러보샤유

면도 부들부들하니 느낌도 좋음,,, 상체 뚱땡이를 위해 나시끈이 더 넓은 버젼도 나왓음 좋겟어여 ㅎㅋ"
ebNVCYTS,알수없음,2024-08-12,코발트블루,one size,정사이즈예요,보통이에요,화면과 비슷해요,162.0,64.0,66,흠뻑쇼 갈 때 입을려고 구매했는데 색이 딱 쨍하고 예쁜 파랑색이여서 만족했습니다! 배송 오자마자 바로 입고 놀았더니 색이 빠져서 흰바지에 물이 들었어요 ㅠㅠ 그 점 유의하셔서 구매하세요!!:)
T4SHBJs2,알수없음,2024-08-12,(롱ver)아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,159.0,49.0,55,여름이라 한번 입으면 무조건 빨아야돼서 한 세번 빨았나.. 보풀이 바로 생겨서ㅠ 근데 가격 생각하면 당연한거 같긴해요 그리고 컵이 모양이 잘 잡혀서 좋긴 한데 되게 딱딱한? 느낌이라 당황스럽긴했어요
